name	city	state
University of Minnesota Twin Cities	Minneapolis	MN
University of Minnesota Duluth	Duluth	MN
University of Minnesota Morris	Morris	MN
St. Cloud State University	St. Cloud	MN
Minnesota State University Mankato	Mankato	MN
Hamline University	St. Paul	MN
Macalester College	St. Paul	MN
St. Olaf College	Northfield	MN
Carleton College	Northfield	MN
Augsburg University	Minneapolis	MN
Bethel University	St. Paul	MN
St. Catherine University	St. Paul	MN
Concordia College	Moorhead	MN
Gustavus Adolphus College	St. Peter	MN
Metropolitan State University	St. Paul	MN
Southwest Minnesota State University	Marshall	MN
Winona State University	Winona	MN
St. John's University	Collegeville	MN
College of Saint Benedict	St. Joseph	MN
Minnesota State University Moorhead	Moorhead	MN
